lemma,surface_word,seed_node_count,source_node_ids,parts_of_speech,max_degree_score,best_frequency,earliest_age_of_acquisition,mean_concreteness
green,green,2,green::a;green::v,a;v,38,4.859683592717567,3.79,4.07
ground,ground,1,ground::n,n,408,4.859683592717567,4.89,4.77
cash,cash,1,cash::v,v,4,4.859448584875304,4.84,4.48
forward,forward,2,forward::n;forward::r,n;r,87,4.85886050830352,4.239515000000001,2.66
single,single,3,single::a;single::n;single::v,a;n;v,367,4.857327772013322,6.68,3.27
position,position,2,position::n;position::v,n;v,403,4.857327772013322,8.72,2.62
crime,crime,1,crime::n,n,74,4.852219065116476,7.67,3.03
art,art,1,art::n,n,230,4.849581883785929,6.21,4.17
fighting,fighting,1,fighting::n,n,77,4.849581883785929,,3.78
wall,wall,2,wall::n;wall::v,n;v,179,4.848859864530843,3.79,4.86
force,force,2,force::n;force::v,n;v,293,4.848739411199908,6.0,3.0
jail,jail,1,jail::v,v,10,4.848498404267028,5.74,4.83
normal,normal,1,normal::a,a,65,4.846928590722779,5.53,1.4
machine,machine,1,machine::n,n,184,4.846202143134548,6.53,4.25
protect,protect,1,protect::v,v,180,4.846202143134548,6.79,2.86
field,field,1,field::n,n,166,4.845838463156363,6.1,4.26
speaking,speaking,1,speaking::a,a,11,4.844015480983796,,3.83
nose,nose,1,nose::n,n,139,4.843040085892366,2.95,4.89
sun,sun,2,sun::n;sun::v,n;v,221,4.842551565613743,3.4,4.83
church,church,1,church::v,v,12,4.842551565613743,5.15,4.9
tape,tape,1,tape::v,v,4,4.837388649378525,4.42,4.9
putting,putting,1,putting::n,n,80,4.831913230948633,,
involved,involved,1,involved::a,a,244,4.831662700522358,,2.03
gas,gas,2,gas::n;gas::v,n;v,276,4.8306591310823634,5.32,4.29
relationship,relationship,1,relationship::n,n,63,4.830030720493914,9.11,2.8
pop,pop,1,pop::r,r,2,4.828645008136002,4.4846260000000004,4.22
dirty,dirty,1,dirty::v,v,18,4.822033840347542,4.55,4.23
cat,cat,1,cat::v,v,9,4.8212644965114455,3.68,4.86
space,space,1,space::n,n,201,4.819464043015799,5.67,3.54
cry,cry,1,cry::v,v,30,4.816749289684327,2.78,4.0
smoke,smoke,1,smoke::v,v,7,4.815320474487688,4.0,4.96
arm,arm,1,arm::n,n,191,4.815190348799253,3.26,4.96
film,film,2,film::n;film::v,n;v,237,4.8141479373011276,6.95,4.71
government,government,1,government::n,n,529,4.814017459763146,8.5,2.88
